,Age G,Age^2,Ast,Comb^2,Disruption_Score,Dominance_Score,Double_Digit_Sacks,FF,FR,GS^2,Impact_Plays,Int,Int_Yds,PD,QBHits,Sack_Conv_Rate,Solo_Tackle_Pct,TFL,Turnover_Creator,target,season
149,0.6656495143789144,0.514414493514449,1.1696142368204658,1.1093767098126812,-1.0949738044707562,-1.080931314727509,-0.9510056596602788,-0.8003515217299981,-0.14516803420015495,0.3967677328015067,-0.5574464304212184,1.1277386145039048,3.093241620940865,1.0370978670000282,0.0771260245813825,-1.279202517078675,0.21698037838313808,-1.0075789858943132,0.656459615299629,36.0,2002
119,-1.1278820770295528,-1.5328590963717688,0.1665344774280796,-0.4576408499543069,0.0635156373508365,0.4880062021657033,1.0515184529577069,-0.2490455533042814,-0.14516803420015495,0.3967677328015067,0.12038749201585024,-0.697788267724291,-0.5680431973385178,-1.3420726161975562,-0.2753852760052902,1.296508252491256,0.16212702481506652,0.3763154848832547,-1.5233229534517037,1.0,2007
49,-0.5193624299445371,-0.4318043925674163,-0.2633568480258003,-0.5584773720421567,1.10615613499027,1.3038537109501738,1.0515184529577069,-0.2490455533042814,-1.0403709117677777,-0.2939625635261815,0.5722767736405627,-0.33268289127865186,-0.5680431973385178,0.08542967372099433,2.5447051286880917,-0.22746788674765808,0.4291490100040917,2.155608375882985,0.656459615299629,20.0,2020
289,-0.6154444794842764,-1.0052703841321833,-0.9798423904489334,-0.979980036543303,-0.16818225101348205,-0.5161138086459527,-0.9510056596602788,-0.2490455533042814,-0.14516803420015495,0.3967677328015067,-0.482131550150433,0.39752786161262643,1.0274708289758923,-0.1524873745987641,0.0771260245813825,-0.7797300864729698,-2.196567177732492,-0.01908293533890754,0.656459615299629,5.0,1983
208,0.20125294160350776,0.514414493514449,0.30983158591270626,0.15578132608011305,0.8744582466259514,0.3624912008142463,1.0515184529577069,1.4048723519728687,-0.14516803420015495,-0.2939625635261815,0.49696189336977725,-0.33268289127865186,-0.43368412143835694,-0.1524873745987641,0.0771260245813825,0.21921477473844053,0.37019146932003144,-0.01908293533890754,0.656459615299629,14.0,1994
21,-0.6154444794842764,-1.0052703841321833,0.023237368943452984,-0.4576408499543069,-1.2108227486529155,-1.582991320133337,-0.9510056596602788,-0.8003515217299981,-1.0403709117677777,0.3967677328015067,-1.5365398739414289,0.03242248516698727,-0.5680431973385178,1.512931963639545,-1.8029342452142054,-1.029466301859068,0.27183373191030225,-1.2052781960053944,0.656459615299629,1.0,2024
269,0.1532119168336381,-0.12786741703808988,-0.9798423904489334,-0.4397843825012502,-0.16818225101348205,-0.39059880729449564,-0.9510056596602788,-0.2490455533042814,-0.14516803420015495,0.3967677328015067,0.4216470130989919,2.223054743840822,1.4137531721888545,-0.1524873745987641,0.0771260245813825,-1.4456933272805768,1.0397806815778636,-0.01908293533890754,0.656459615299629,1.0,1988
100,-1.6403196745748292,1.5638572580779724,-0.4783025107527402,-0.7745556336589778,-1.9059164137458713,-1.2692038167546946,-0.9510056596602788,-0.8003515217299981,-0.14516803420015495,-3.079165371299118,0.19570237228663565,2.223054743840822,2.5054206638776613,2.2266831085988206,-2.2729493126631026,-1.4456933272805768,0.42749865411358284,-2.391473456671881,0.656459615299629,1.0,2010
324,-0.35922568071163824,-0.7242720482654474,-0.9798423904489334,-0.979980036543303,-0.16818225101348205,0.3624912008142463,-0.9510056596602788,-0.2490455533042814,0.7500348433674678,0.3967677328015067,2.078574379056271,4.048581626069018,4.016960267754471,-0.1524873745987641,0.0771260245813825,-1.279202517078675,-2.196567177732492,-0.01908293533890754,0.656459615299629,26.0,1980
35,-0.35922568071163824,-0.7242720482654474,-0.2633568480258003,-0.5896886764979198,0.6427603582616329,1.3666112116259022,1.0515184529577069,-0.2490455533042814,-1.0403709117677777,0.3967677328015067,0.7982214144529189,-0.697788267724291,-0.5680431973385178,-1.3420726161975562,3.3672314967236616,-0.16232666527015266,0.4052026699407295,1.3648115354386605,-1.5233229534517037,56.0,2022
75,-0.6154444794842764,-1.0052703841321833,0.8113714656088995,-0.26557128407268815,0.2952135257151551,0.3624912008142463,1.0515184529577069,-1.3516574901557148,-0.14516803420015495,0.3967677328015067,-0.7833910712335747,-0.697788267724291,-0.5680431973385178,-1.3420726161975562,2.0746900612391945,-0.4557479693005812,-0.13280912251560528,1.9579091657719039,-1.5233229534517037,7.0,2015
110,0.1532119168336381,-0.12786741703808988,0.3814801401550196,-0.1803404142127198,-1.6742185253815527,-1.206446316078966,-0.9510056596602788,-1.3516574901557148,-1.0403709117677777,0.3967677328015067,-0.33150178960886223,1.857949367395183,0.42285498742516836,2.464600156918579,-2.2729493126631026,-1.4456933272805768,0.19744356751788952,-1.4029774061164755,0.656459615299629,2.0,2008
311,-3.0174957179777593,-0.4318043925674163,-0.9798423904489334,-0.979980036543303,-0.16818225101348205,-0.6416288099974097,-0.9510056596602788,-0.2490455533042814,-1.0403709117677777,-3.5025161980806043,-1.0846505923167162,-0.697788267724291,-0.5680431973385178,-0.1524873745987641,0.0771260245813825,-0.4467484660691664,-2.196567177732492,-0.01908293533890754,-1.5233229534517037,5.0,1982
59,-0.7115265290240157,-0.12786741703808988,-0.2633568480258003,-0.6485099810491656,0.9903071908081107,0.6762787041928887,1.0515184529577069,1.9561783203985854,0.7500348433674678,-1.541733421408457,1.0994809355360606,-0.33268289127865186,-0.11458131617547497,-0.628321471238281,-0.15788150914306598,0.8666790366218787,0.35119603064902144,-0.41448135556106985,0.656459615299629,5.0,2018
145,-0.8716632782569146,-1.2747994001676237,0.30983158591270626,-0.13592432710259547,-0.979124860288597,-1.331961317430423,-0.9510056596602788,-0.2490455533042814,-0.14516803420015495,0.3967677328015067,-1.0846505923167162,0.03242248516698727,0.5908038323003695,0.5612637703605112,0.0771260245813825,-1.1127117068767733,0.26305719535157657,-1.4029774061164755,0.656459615299629,2.0,2003
224,-0.35922568071163824,-0.7242720482654474,-0.9798423904489334,-0.090307805205711,-0.5157290835599599,-0.7043863106731382,-0.9510056596602788,-0.8003515217299981,-0.14516803420015495,0.3967677328015067,-1.2352803528582872,-0.697788267724291,-0.5680431973385178,-0.1524873745987641,0.0771260245813825,-0.3635030609682154,1.0397806815897717,-0.01908293533890754,-1.5233229534517037,1.0,1993
216,1.434305910696829,1.5638572580779724,-0.9798423904489334,-0.04349084852206642,0.17936458153299578,0.3624912008142463,1.0515184529577069,0.3022604151214353,0.7500348433674678,0.3967677328015067,0.19570237228663565,-0.697788267724291,-0.5680431973385178,-0.1524873745987641,0.0771260245813825,0.718687205344146,1.0397806815908355,-0.01908293533890754,0.656459615299629,12.0,1993
210,-0.35922568071163824,-0.7242720482654474,1.2412627910627791,2.6250756824456745,-0.5157290835599599,-0.8299013120245952,-0.9510056596602788,-0.8003515217299981,1.6452377209350906,0.3967677328015067,-1.385910113399858,-0.697788267724291,-0.5680431973385178,-0.1524873745987641,0.0771260245813825,-0.5299938711701172,0.39251110974223974,-0.01908293533890754,-1.5233229534517037,8.0,1994
167,-0.10300688193900008,-0.4318043925674163,0.5964258028819595,0.4029208378043522,-0.052333306831322784,-0.014053803240124695,1.0515184529577069,-0.2490455533042814,-0.14516803420015495,0.3967677328015067,-0.40681666987964765,-0.697788267724291,-0.5680431973385178,-1.3420726161975562,0.0771260245813825,0.30246017983939144,0.29811763050149814,0.1786162747721736,-1.5233229534517037,2.0,1999
312,-3.4498649409065862,-1.2747994001676237,-0.9798423904489334,-0.979980036543303,-0.16818225101348205,-0.5161138086459527,-0.9510056596602788,-0.2490455533042814,-1.0403709117677777,-3.5025161980806043,0.12038749201585024,1.857949367395183,0.4564447564002086,-0.1524873745987641,0.0771260245813825,-1.4456933272805768,-2.196567177732492,-0.01908293533890754,0.656459615299629,5.0,1982
178,-0.6154444794842764,-1.0052703841321833,-0.04841118529886033,-0.6894748181473546,-0.8632759161064377,-0.5161138086459527,-0.9510056596602788,-1.3516574901557148,-1.0403709117677777,0.3967677328015067,0.12038749201585024,2.223054743840822,1.3465736342387742,-0.1524873745987641,0.0771260245813825,-1.279202517078675,0.08358699585871178,-0.01908293533890754,0.656459615299629,1.0,1998
