Rec_Unnamed: 0_level_0 Rk,Player,Rec_Unnamed: 2_level_0 Age,Rec_Unnamed: 3_level_0 Team,Rec_Unnamed: 4_level_0 Pos,Rec_Unnamed: 5_level_0 G,Rec_Unnamed: 6_level_0 GS,Rec_Receiving Tgt,Rec_Receiving Rec,Rec_Receiving Yds,Rec_Receiving Y/R,Rec_Receiving TD,Rec_Receiving 1D,Rec_Receiving Succ%,Rec_Receiving Lng,Rec_Receiving R/G,Rec_Receiving Y/G,Rec_Receiving Ctch%,Rec_Receiving Y/Tgt,Rec_Unnamed: 19_level_0 Fmb,Rec_Unnamed: 20_level_0 Awards,Year
33.0,Jaylen Waddle,27.0,MIA,WR,13.0,13.0,86.0,57.0,812.0,14.2,6.0,42.0,60.5,46.0,4.4,62.5,66.3,9.4,0.0,,2025
34.0,Davante Adams,33.0,LAR,WR,13.0,13.0,105.0,56.0,718.0,12.8,14.0,47.0,53.3,44.0,4.3,55.2,53.3,6.8,0.0,,2025
35.0,Bijan Robinson,23.0,ATL,RB,13.0,13.0,70.0,56.0,602.0,10.8,2.0,24.0,58.6,69.0,4.3,46.3,80.0,8.6,3.0,,2025
36.0,Courtland Sutton,30.0,DEN,WR,13.0,13.0,90.0,56.0,773.0,13.8,5.0,39.0,56.7,52.0,4.3,59.5,62.2,8.6,0.0,,2025
37.0,De'Von Achane,24.0,MIA,RB,13.0,13.0,73.0,55.0,383.0,7.0,4.0,18.0,41.1,29.0,4.2,29.5,75.3,5.2,1.0,,2025
38.0,Jakobi Meyers,29.0,2TM,WR,12.0,9.0,80.0,55.0,636.0,11.6,3.0,31.0,61.3,50.0,4.6,53.0,68.8,8.0,0.0,,2025
38.0,Jakobi Meyers,29.0,LVR,WR,7.0,6.0,49.0,33.0,352.0,10.7,0.0,15.0,59.2,45.0,4.7,50.3,67.3,7.2,0.0,,2025
38.0,Jakobi Meyers,29.0,JAX,WR,5.0,3.0,31.0,22.0,284.0,12.9,3.0,16.0,64.5,50.0,4.4,56.8,71.0,9.2,0.0,,2025
39.0,Emeka Egbuka,23.0,TAM,WR,13.0,12.0,110.0,54.0,806.0,14.9,6.0,29.0,40.0,77.0,4.2,62.0,49.1,7.3,0.0,,2025
40.0,Brock Bowers,23.0,LVR,TE,10.0,6.0,73.0,53.0,619.0,11.7,6.0,31.0,63.0,38.0,5.3,61.9,72.6,8.5,0.0,,2025
41.0,D.K. Metcalf,28.0,PIT,WR,13.0,13.0,87.0,52.0,753.0,14.5,5.0,33.0,52.9,80.0,4.0,57.9,59.8,8.7,0.0,,2025
42.0,Rashid Shaheed,27.0,2TM,WR,14.0,12.0,82.0,52.0,603.0,11.6,2.0,26.0,43.9,87.0,3.7,43.1,63.4,7.4,2.0,,2025
