,Year,Rank,Player,Votes,Games,Games_Started,Age,Pass_QBrec,Pass_Rate,Pass_QBR,Pass_Y_per_A,Pass_AY_per_A,Pass_Y_per_C,Pass_Y_per_G,Pass_NY_per_A,Pass_ANY_per_A,Pass_Sk,Pass_4QC,Pass_GWD,Pass_Completions,Pass_Attempts,Pass_Yards,Pass_Touchdowns,Pass_Interceptions,Rush_Attempts,Rush_Yards,Rush_Touchdowns,Scrim_Receiving_Tgt,Scrim_Receiving_Y_R,Scrim_Receiving_1D,Scrim_Receiving_Succ_Pct,Scrim_Receiving_Lng,Scrim_Receiving_R_G,Scrim_Receiving_Y_G,Scrim_Receiving_Ctch_Pct,Scrim_Receiving_Y_Tgt,Rec_Receptions,Rec_Yards,Rec_Touchdowns,Scrim_Scrimmage_Touch,Scrim_Scrimmage_Y_Tch,Scrim_Scrimmage_YScm,Scrim_Scrimmage_RRTD,Def_Solo,Def_Sk,Def_Int,Scrim_Rushing_1D,Scrim_Rushing_Succ_Pct,Scrim_Rushing_Lng,Scrim_Rushing_Y_A,Scrim_Rushing_Y_G,Scrim_Rushing_A_G
15,2023,5,Josh Allen,19.0,17,17,27.0,,92.2,69.6,7.4,7.04,11.2,253.3,6.89,6.51,24.0,2.0,4.0,385,579,4306,29,18,111,524,15,0.0,,0.0,,,0.0,0.0,,,0,0,0,111.0,4.7,524.0,15.0,0.0,0.0,0.0,57.0,65.8,23.0,4.7,30.8,6.5
16,2023,6,Tyreek Hill,14.0,16,16,29.0,,,,,,,,,,,,,0,0,0,0,0,6,15,0,171.0,15.1,83.0,57.9,78.0,7.4,112.4,69.6,10.5,119,1799,13,125.0,14.5,1814.0,13.0,0.0,0.0,0.0,2.0,33.3,14.0,2.5,0.9,0.4
17,2023,7,Patrick Mahomes,3.0,16,16,28.0,,92.6,63.1,7.0,6.86,10.4,261.4,6.41,6.26,27.0,1.0,2.0,401,597,4183,27,14,75,389,0,0.0,,0.0,,,0.0,0.0,,,0,0,0,75.0,5.2,389.0,0.0,0.0,0.0,0.0,27.0,50.7,25.0,5.2,24.3,4.7
18,2023,8,Matthew Stafford,1.0,15,15,35.0,,92.5,63.5,7.6,7.58,12.2,264.3,6.82,6.8,30.0,1.0,2.0,326,521,3965,24,11,21,65,0,0.0,,0.0,,,0.0,0.0,,,0,0,0,21.0,3.1,65.0,0.0,0.0,0.0,0.0,4.0,33.3,9.0,3.1,4.3,1.4
19,2023,9,C.J. Stroud,1.0,15,15,22.0,,100.8,57.5,8.2,8.7,12.9,273.9,7.03,7.47,38.0,1.0,3.0,319,499,4108,23,5,39,167,3,1.0,0.0,0.0,0.0,,0.1,0.0,100.0,0.0,1,0,0,40.0,4.2,167.0,3.0,0.0,0.0,0.0,17.0,59.0,16.0,4.3,11.1,2.6
20,2023,10,Myles Garrett,1.0,16,16,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,,,,,33.0,14.0,0.0,,,,,,
21,2022,1,Patrick Mahomes,117.0,17,17,27.0,,105.2,79.0,8.1,8.53,12.1,308.8,7.51,7.93,26.0,4.0,4.0,435,648,5250,41,12,61,358,4,1.0,6.0,0.0,100.0,6.0,0.1,0.4,100.0,6.0,1,6,0,62.0,5.9,364.0,4.0,1.0,0.0,0.0,25.0,59.0,20.0,5.9,21.1,3.6
22,2022,2,Jalen Hurts,46.0,15,15,24.0,,101.5,68.3,8.0,8.42,12.1,246.7,6.97,7.31,38.0,1.0,2.0,306,460,3701,22,6,165,760,13,0.0,,0.0,,,0.0,0.0,,,0,0,0,165.0,4.6,760.0,13.0,2.0,0.0,0.0,67.0,59.4,42.0,4.6,50.7,11.0
23,2022,3,Josh Allen,36.0,16,16,26.0,,96.6,73.4,7.6,7.68,11.9,267.7,6.87,6.99,33.0,3.0,4.0,359,567,4283,35,14,124,762,7,0.0,,0.0,,,0.0,0.0,,,0,0,0,124.0,6.1,762.0,7.0,3.0,0.0,0.0,55.0,61.3,44.0,6.1,47.6,7.8
24,2022,4,Joe Burrow,30.0,16,16,26.0,,100.8,60.8,7.4,7.65,10.8,279.7,6.52,6.76,41.0,3.0,4.0,414,606,4475,35,12,75,257,5,0.0,,0.0,,,0.0,0.0,,,0,0,0,75.0,3.4,257.0,5.0,0.0,0.0,0.0,28.0,49.3,23.0,3.4,16.1,4.7
25,2022,5,Justin Jefferson,13.0,17,17,23.0,,118.7,95.2,17.0,17.0,17.0,2.0,17.0,17.0,0.0,0.0,0.0,2,2,34,0,0,4,24,1,184.0,14.1,80.0,57.6,64.0,7.5,106.4,69.6,9.8,128,1809,8,132.0,13.9,1833.0,9.0,2.0,0.0,0.0,2.0,75.0,10.0,6.0,1.4,0.2
26,2022,6,Nick Bosa,5.0,16,16,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,,,,,41.0,18.5,0.0,,,,,,
27,2022,7,Trevor Lawrence,1.0,17,17,23.0,,95.2,56.1,7.0,7.28,10.6,241.9,6.43,6.66,27.0,3.0,2.0,387,584,4113,25,8,62,291,5,0.0,,0.0,,,0.0,0.0,,,0,0,0,62.0,4.7,291.0,5.0,2.0,0.0,0.0,27.0,59.7,24.0,4.7,17.1,3.6
28,2022,8,Micah Parsons,1.0,17,17,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,,,,,42.0,13.5,0.0,,,,,,
29,2022,9,A.J. Brown,1.0,17,16,25.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,145.0,17.0,59.0,51.7,78.0,5.2,88.0,60.7,10.3,88,1496,11,88.0,17.0,1496.0,11.0,2.0,0.0,0.0,0.0,,,,0.0,0.0
30,2022,10,Justin Fields,1.0,15,15,23.0,,85.2,56.3,7.1,6.56,11.7,149.5,5.05,4.63,55.0,1.0,2.0,192,318,2242,17,11,160,1143,8,0.0,,0.0,,,0.0,0.0,,,0,0,0,160.0,7.1,1143.0,8.0,0.0,0.0,0.0,65.0,56.3,67.0,7.1,76.2,10.7
31,2022,11,Derrick Henry,1.0,16,16,28.0,,118.7,45.2,2.0,12.0,2.0,0.3,2.0,12.0,0.0,0.0,0.0,2,2,4,1,0,349,1538,13,41.0,12.1,11.0,61.0,69.0,2.1,24.9,80.5,9.7,33,398,0,382.0,5.1,1936.0,13.0,0.0,0.0,0.0,65.0,46.7,56.0,4.4,96.1,21.8
32,2022,12,Justin Herbert,1.0,17,17,24.0,,93.2,60.2,6.8,6.85,9.9,278.8,6.15,6.22,38.0,4.0,5.0,477,699,4739,25,10,54,147,0,2.0,-5.0,0.0,0.0,-2.0,0.1,-0.6,100.0,-5.0,2,-10,0,56.0,2.4,137.0,0.0,1.0,0.0,0.0,17.0,40.7,23.0,2.7,8.6,3.2
33,2022,13,Tyreek Hill,1.0,17,17,28.0,,,,,,,,,,,,,0,0,0,0,0,7,32,1,170.0,14.4,77.0,56.5,64.0,7.0,100.6,70.0,10.1,119,1710,7,126.0,13.8,1742.0,8.0,4.0,0.0,0.0,3.0,57.1,10.0,4.6,1.9,0.4
34,2022,14,Geno Smith,1.0,17,17,32.0,,100.9,62.8,7.5,7.67,10.7,251.9,6.37,6.54,46.0,2.0,3.0,399,572,4282,30,11,68,366,1,0.0,,0.0,,,0.0,0.0,,,0,0,0,68.0,5.4,366.0,1.0,1.0,0.0,0.0,24.0,55.9,25.0,5.4,21.5,4.0
35,2022,15,Tua Tagovailoa,1.0,13,13,24.0,,105.5,70.6,8.9,9.22,13.7,272.9,8.04,8.37,21.0,2.0,2.0,259,400,3548,25,8,23,70,0,0.0,,0.0,,,0.0,0.0,,,0,0,0,23.0,3.0,70.0,0.0,0.0,0.0,0.0,4.0,34.8,18.0,3.0,5.4,1.8
