,Def_Comb Def_Ast,Def_Comb^2,Def_FF,Def_FR,Def_PD,Def_QBHits,Def_TFL,Disruption_Score,Full_Season,GS^2,G^2,Impact_Game_Flag,Solo_Tackle_Pct,target,season
135,-0.30628512792857376,-0.3760713794984604,2.7413995846313424,2.172434486990644,-0.1931996035077565,-0.24748348794097058,-0.11851552226940201,1.6500008898860747,-1.1239029738980326,-1.9957556714101878,0.4160814324779438,0.6856277926728687,0.4855029985982014,4.0,1996
215,-0.6160973997979865,-0.898695475057073,-0.1469356592068866,-0.8819965628381633,-0.1931996035077565,-0.24748348794097058,-0.11851552226940201,-0.16923086050113592,-1.1239029738980326,-1.0778294743114083,-3.2914529421775063,0.6856277926728687,-2.149237378128374,7.0,1982
228,-0.6160973997979865,-0.898695475057073,-0.1469356592068866,0.13614712043810576,-0.1931996035077565,-0.24748348794097058,-0.11851552226940201,-0.16923086050113592,-1.1239029738980326,-1.9957556714101878,0.4160814324779438,0.6856277926728687,-2.149237378128374,3.0,1980
21,-0.3378296501552776,-0.6492180555573585,-0.1469356592068866,1.1542908037143749,-1.3632817092589582,0.28239817088699953,1.05301722660055,0.5887823688268685,-1.1239029738980326,-1.4449999531509201,1.1152164859844,0.6856277926728687,-0.03065958984207364,1.0,2023
48,-0.33895624023480275,-0.6082719693929316,-0.1469356592068866,-0.8819965628381633,-1.3632817092589582,2.5785520258082033,2.224549975470502,1.346795598154873,-1.1239029738980326,-0.6188663757620186,-1.9567405673015443,0.6856277926728687,0.128492107428698,37.0,2016
165,-0.6160973997979865,-0.09981487411061861,-0.8690194701664438,0.13614712043810576,-0.1931996035077565,-0.24748348794097058,-0.11851552226940201,-0.6240387980979386,-1.1239029738980326,-0.06811065750275086,0.4160814324779438,-1.4585173044131932,1.0710008601041887,1.0,1991
96,-0.5811731073327072,-0.732665142550684,-0.8690194701664438,-0.8819965628381633,-1.3632817092589582,-0.24748348794097058,0.5844041270525692,-0.16923086050113592,-1.1239029738980326,-0.8598220025004483,-0.2406817996038788,-1.4585173044131932,0.86324355435889,2.0,2004
226,-0.6160973997979865,-0.898695475057073,-0.1469356592068866,0.13614712043810576,-0.1931996035077565,-0.24748348794097058,-0.11851552226940201,-0.16923086050113592,-1.1239029738980326,-0.06811065750275086,-1.4270927994936229,0.6856277926728687,-2.149237378128374,5.0,1980
89,0.5668221837034075,1.006074988921011,-0.8690194701664438,0.13614712043810576,0.9768825022434452,-0.24748348794097058,0.35009757727857876,-0.3208335063667368,0.8897565210026093,0.930134081842172,0.4160814324779438,-1.4585173044131932,0.45762214807339996,16.5,2005
10,-0.46738750930066836,-0.7105508006559725,-0.1469356592068866,-0.8819965628381633,1.6789317656941662,-1.1306195859875874,-1.7586613706873346,-1.2304493815603421,-1.1239029738980326,-1.5941629601794718,-0.2406817996038788,0.6856277926728687,0.2903370447370329,2.0,2024
