RecAdv_Unnamed: 0_level_0 Rk,Player,RecAdv_Unnamed: 2_level_0 Age,RecAdv_Unnamed: 3_level_0 Team,RecAdv_Unnamed: 4_level_0 Pos,RecAdv_Unnamed: 5_level_0 G,RecAdv_Unnamed: 6_level_0 GS,RecAdv_Receiving Tgt,RecAdv_Receiving Rec,RecAdv_Receiving Yds,RecAdv_Receiving 1D,RecAdv_Receiving YBC,RecAdv_Receiving YBC/R,RecAdv_Receiving YAC,RecAdv_Receiving YAC/R,RecAdv_Receiving ADOT,RecAdv_Receiving BrkTkl,RecAdv_Receiving Rec/Br,RecAdv_Receiving Drop,RecAdv_Receiving Drop%,RecAdv_Receiving Int,RecAdv_Receiving Rat,RecAdv_Unnamed: 22_level_0 Awards,Year
30.0,CeeDee Lamb,26.0,DAL,WR,10.0,9.0,89.0,57.0,865.0,33.0,590.0,10.4,275.0,4.8,11.8,5.0,11.4,7.0,7.9,3.0,93.1,,2025
31.0,Tetairoa McMillan,22.0,CAR,WR,13.0,13.0,98.0,57.0,826.0,46.0,591.0,10.4,235.0,4.1,11.3,2.0,28.5,7.0,7.1,4.0,89.1,,2025
32.0,Khalil Shakir,25.0,BUF,WR,13.0,9.0,78.0,57.0,585.0,24.0,119.0,2.1,466.0,8.2,3.7,6.0,9.5,2.0,2.6,2.0,100.6,,2025
33.0,Jaylen Waddle,27.0,MIA,WR,13.0,13.0,86.0,57.0,812.0,42.0,614.0,10.8,198.0,3.5,13.0,4.0,14.3,4.0,4.7,5.0,95.7,,2025
34.0,Davante Adams,33.0,LAR,WR,13.0,13.0,105.0,56.0,718.0,47.0,610.0,10.9,108.0,1.9,12.2,0.0,,5.0,4.8,1.0,110.6,,2025
35.0,Bijan Robinson,23.0,ATL,RB,13.0,13.0,70.0,56.0,602.0,24.0,17.0,0.3,585.0,10.4,1.0,8.0,7.0,3.0,4.3,1.0,106.1,,2025
36.0,Courtland Sutton,30.0,DEN,WR,13.0,13.0,90.0,56.0,773.0,39.0,593.0,10.6,180.0,3.2,12.0,2.0,28.0,5.0,5.6,3.0,94.4,,2025
37.0,De'Von Achane,24.0,MIA,RB,13.0,13.0,73.0,55.0,383.0,18.0,-80.0,-1.5,463.0,8.4,0.2,7.0,7.9,5.0,6.8,2.0,93.6,,2025
38.0,Jakobi Meyers,29.0,2TM,WR,12.0,9.0,80.0,55.0,636.0,31.0,383.0,7.0,253.0,4.6,8.9,4.0,13.8,2.0,2.5,6.0,73.7,,2025
38.0,Jakobi Meyers,29.0,LVR,WR,7.0,6.0,49.0,33.0,352.0,15.0,199.0,6.0,153.0,4.6,8.8,4.0,8.3,1.0,2.0,4.0,54.1,,2025
38.0,Jakobi Meyers,29.0,JAX,WR,5.0,3.0,31.0,22.0,284.0,16.0,184.0,8.4,100.0,4.5,9.0,0.0,,1.0,3.2,2.0,104.8,,2025
39.0,Emeka Egbuka,23.0,TAM,WR,13.0,12.0,110.0,54.0,806.0,29.0,511.0,9.5,295.0,5.5,11.8,0.0,,8.0,7.3,1.0,87.9,,2025
40.0,Brock Bowers,23.0,LVR,TE,10.0,6.0,73.0,53.0,619.0,31.0,352.0,6.6,267.0,5.0,7.3,2.0,26.5,3.0,4.1,2.0,113.9,,2025
41.0,D.K. Metcalf,28.0,PIT,WR,13.0,13.0,87.0,52.0,753.0,33.0,379.0,7.3,374.0,7.2,10.4,4.0,13.0,4.0,4.6,4.0,88.0,,2025
42.0,Rashid Shaheed,27.0,2TM,WR,14.0,12.0,82.0,52.0,603.0,26.0,434.0,8.3,169.0,3.3,11.4,2.0,26.0,0.0,0.0,3.0,78.5,,2025
42.0,Rashid Shaheed,27.0,NOR,WR,9.0,9.0,66.0,44.0,499.0,22.0,355.0,8.1,144.0,3.3,11.3,2.0,22.0,0.0,0.0,3.0,80.3,,2025
