,1000_Rec_Yards,1000_Rush_Yards,GS Pass_Cmp,Likely_RB,PFR_Age GS,PFR_Age^2,Pass_Comp_Pct,Pass_Int,Pass_TD_INT_Ratio,Pass_YPA,Rec,Rec_YPR,Rush_TD,Rush_TD_Rate,Rush_YPC,Rush_Yds,Total_TD,Total_TDs,Total_Yards,target,season
184,-0.302659963383191,-0.5800418934273982,-0.6624718167745001,-0.590810124975516,-0.21195207610815087,0.07102597248546388,-1.7566201315066745,2.37822687167778,0.604114133981318,1.3263030932352216,-0.0056282492732011415,-1.1642864300109321,-0.5594475332112087,-0.24260984333816632,-0.2680619773091647,-0.8188109560084075,1.1047668496803862,-0.9749765527358291,-1.3755326121634224,3.0,1980
35,-0.302659963383191,1.7240134054647667,0.16405959168935486,1.6925911688487756,0.19799228044563194,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,-0.85518120901139,0.14424113545908596,0.48974587333571395,-0.2817587289386257,0.020158195611357618,1.1768953743837063,-0.179636886126892,-0.06223254591930819,0.708442605068564,13.0,2019
39,-0.302659963383191,-0.5800418934273982,0.7232421698734681,-0.590810124975516,0.19799228044563194,0.07102597248546388,-1.7566201315057288,1.2928446079014313,1.9266540725027488,1.9743730358264606,-1.704734168749579,-1.1642864300109321,-1.3463425881214006,-0.3259590836501439,-0.4460949213622877,-0.9957806412889048,2.389170585487664,-1.65953455784822,-1.53249263306202,21.5,2018
30,-0.302659963383191,-0.5800418934273982,0.8125790314768472,-0.590810124975516,1.0178809935531976,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,-0.0056282492732011415,-1.1642864300109321,-0.29714918157447795,-0.26228952507799996,0.13451618766807574,-0.2324656132115792,-0.5649580068690754,-0.7467905510316989,-0.8554843501499956,2.0,2021
53,3.304037933599835,-0.5800418934273982,0.488319311583101,-0.590810124975516,0.6079366369994148,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,1.2910578471692977,1.2723940649527952,-0.29714918157447795,-0.26228952507799996,0.13451618766807574,-0.2324656132115792,-0.5649580068690754,1.9914414694178637,1.1320455530358644,1.0,2014
121,-0.302659963383191,-0.5800418934273982,-1.3083442384404107,-0.590810124975516,-0.8268686109388251,0.07102597248546388,-1.7566201315074856,0.5692564320505323,0.5930561077180181,1.5197478007863225,-0.0056282492732011415,-1.1642864300109321,-0.29714918157447795,-0.09087148277497467,-0.24442307196990284,-1.0554812580100363,0.7194457289382027,-0.7467905510316989,-1.5854430015579326,1.0,1994
10,-0.302659963383191,-0.5800418934273982,1.2228668403219953,-0.590810124975516,0.47425912942752907,-3.5278097199866405,-1.7566201315057153,-1.963302183427614,4.557358514957534,2.1577257653517883,-1.704734168749579,-1.1642864300109321,-0.5594475332112087,-0.20841528321105232,-0.13715081162876402,-0.9190227055045926,2.260730211906936,-0.9749765527358291,-1.4644135878529898,59.0,2023
109,-0.302659963383191,-0.5800418934273982,-1.943628587619995,1.6925911688487756,-2.4666460371539563,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,-0.49747469964794205,-0.16768841326608735,0.7520442249724446,-0.2629459122794431,-0.12113738552182259,0.5159242606854635,-0.0511965125461642,0.16595345578482204,0.14300831291578373,1.0,1997
73,-0.302659963383191,1.7240134054647667,0.3261894516362279,1.6925911688487756,0.40296445872252334,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,0.17322500540852284,-0.21103014805154974,1.0143425766091754,-0.27116775037655205,0.06713660049808834,1.3432042352497158,0.07724386103456361,0.6223254591930825,1.0337091544005983,3.0,2008
72,-0.302659963383191,-0.5800418934273982,0.8622106212565022,-0.590810124975516,0.8129088152763062,0.07102597248546388,-1.7566201315059877,0.20746234412508288,1.3228858396656316,2.0588588221525224,-0.0056282492732011415,-1.1642864300109321,-1.0840442364846699,-0.29817600354615137,-0.9374408817367924,-1.0533490931271388,1.1047668496803862,-1.4313485561440895,-1.583551916968793,44.0,2008
17,-0.302659963383191,-0.5800418934273982,-0.6465897080450105,-0.590810124975516,-0.8268686109388251,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,1.7829042975440386,0.7076044598117158,-1.3463425881214006,-0.3259590836501439,-2.5743765652149055,-1.2814907355971774,-1.0787195011919866,-0.06223254591930819,-0.01206062339367443,1.0,2023
98,-0.302659963383191,1.7240134054647667,0.0019297317424817886,1.6925911688487756,-0.006979897831259459,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,-0.721041268000097,-0.005872817827195645,2.588132686429559,-0.24878386113791023,0.10539285255962656,1.895434939920183,0.8478861025189305,1.7632554677137338,1.3514113653760733,40.0,2000
84,-0.302659963383191,-0.5800418934273982,-0.16020012820439128,-0.590810124975516,-0.21195207610815087,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,0.17322500540852284,0.9292110199844809,-0.29714918157447795,5.786318533227065,0.10313904986677133,-1.264433416533997,-0.5649580068690754,0.16595345578482204,-0.6909599908948387,1.0,2005
130,-0.302659963383191,-0.5800418934273982,-1.619368867726249,-0.590810124975516,-2.0567016806001734,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,-0.586901326988804,0.10907218329710526,0.48974587333571395,-0.2375583742274728,-0.6824130511981221,-0.5906693135383688,-0.179636886126892,0.3941394574889523,-0.7760587974061267,2.0,1992
166,-0.302659963383191,-0.5800418934273982,-1.1329792878856297,-0.590810124975516,-1.4417851457694992,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,-1.168174404704407,0.08481773347176687,-1.0840442364846699,-0.31519803149706915,-0.30697337583672324,-0.132253863715394,-0.9502791276112589,-1.4313485561440895,-0.5718216617790356,1.0,1986
13,-0.302659963383191,-0.5800418934273982,-1.4572390077793758,-0.590810124975516,-1.851729502323282,0.07102597248546388,0.5692750425533109,0.026565300162358144,-0.4021662540438065,-0.500422152886127,0.5756448284424017,-0.20623566378931787,1.276640928245906,-0.2419992261919584,0.16750240772680483,0.739801573389707,0.20568423461529142,0.8505114608972127,0.6044329526658787,1.0,2023
